number_of_words,number_of_characters,average_word_len,number_of_stop_words,number_of_tags,number_of_hash_tags,readability,number_of_digits,number_of_secure_links,number_of_unsecured_links,number_of_percent,number_of_exclamation_marks,number_of_question_marks,number_of_commas,number_of_points,number_of_male_terms,number_of_female_terms,number_of_emoji,number_of_tildes,number_of_dollars,number_of_circumflex_accents,number_of_ampersands,number_of_stars,number_of_parenthesis,number_of_minuses,number_of_underscores,number_of_equals,number_of_pluses,number_of_brackets,number_of_curly_brackets,number_of_vertical_bars,number_of_semicolons,number_of_colons,number_of_apostrophes,number_of_grave_accents,number_of_quotation_marks,number_of_slashes,number_of_less_grater_than_signs,author_class
15.76,88.51,4.447493883621581,6.04,0.38,0.04,-5.385478172588833,0.72,0.27,0.27,0.01,0.28,0.02,0.48,2.71,1.17,0.17,0.33,0.0,0.0,0.0,0.02,0.0,0.12,0.31,0.06,0.0,0.02,0.0,0.0,0.0,0.04,0.66,0.22,0.0,0.03,0.83,0.0,2
22.31,121.86,4.293605598477537,8.55,0.09,0.32,-3.435312460779919,3.04,0.72,0.72,0.01,0.69,0.11,0.55,3.3,1.86,0.41,0.435,0.0,0.0,0.0,0.0,0.0,0.08,0.22,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.85,0.09,0.0,0.02,2.2,0.0,2
18.98,105.46,4.382888958629887,7.19,0.21,0.21,-4.271045521601685,1.85,0.76,0.76,0.0,0.49,0.11,0.33,2.72,1.1,0.24,0.48,0.0,0.0,0.0,0.0,0.0,0.11,0.19,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.96,0.07,0.0,0.02,2.29,0.0,2
22.41,123.09,4.287004157768015,8.4,0.18,0.13,-3.364334716644354,1.83,0.76,0.76,0.0,0.91,0.06,0.95,2.67,1.43,0.18,0.515,0.0,0.0,0.0,0.01,0.0,0.21,0.31,0.1,0.0,0.07,0.0,0.0,0.0,0.01,0.95,0.12,0.0,0.02,2.3,0.0,2
21.26,114.77,4.306640252854008,8.3,0.23,0.08,-3.7574899341486336,2.32,0.62,0.62,0.01,0.59,0.1,0.6,2.49,1.56,0.22,0.545,0.0,0.03,0.0,0.0,0.0,0.1,0.24,0.04,0.01,0.06,0.0,0.0,0.0,0.0,0.99,0.18,0.0,0.0,1.89,0.0,2
13.85,86.79,5.270603099154815,4.25,0.94,0.53,-4.9487888086642595,1.35,0.48,0.49,0.0,0.53,0.06,0.23,1.18,1.09,0.18,0.66,0.0,0.0,0.0,0.07,0.02,0.04,0.06,0.11,0.0,0.0,0.0,0.0,0.0,0.07,0.92,0.34,0.0,0.01,1.42,0.0,2
12.79,75.73,4.9378764026336,3.73,0.66,0.51,-5.795175996872555,1.8,0.38,0.38,0.01,0.21,0.06,0.22,1.14,0.91,0.12,0.555,0.0,0.02,0.0,0.05,0.0,0.05,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.85,0.22,0.0,0.03,1.12,0.0,2
12.96,80.77,5.217551377222054,3.91,0.68,0.75,-4.690229629629629,2.3,0.26,0.26,0.0,0.23,0.03,0.18,1.19,1.03,0.15,0.355,0.0,0.02,0.0,0.06,0.0,0.04,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.06,0.59,0.06,0.0,0.04,0.81,0.0,2
15.26,93.77,5.123985326232153,4.58,0.87,0.64,-4.094301179554389,1.77,0.34,0.34,0.0,0.19,0.07,0.34,1.19,1.37,0.2,0.52,0.0,0.01,0.0,0.07,0.02,0.01,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.09,0.88,0.09,0.0,0.0,0.98,0.0,2
15.0,93.04,5.144263788852654,4.34,0.7,0.52,-3.7455999999999996,1.08,0.15,0.15,0.0,0.16,0.06,0.37,0.94,1.01,0.14,0.44,0.0,0.0,0.0,0.14,0.02,0.09,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.14,0.72,0.18,0.0,0.05,0.44,0.0,2
16.02,97.97,5.030230157917792,5.03,0.98,0.46,-3.972537078651685,1.53,0.18,0.18,0.0,0.29,0.03,0.36,1.24,1.09,0.18,0.81,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.11,0.0,0.0,0.02,0.0,0.0,0.06,0.92,0.14,0.0,0.01,0.58,0.0,2
15.61,97.25,5.267147108965328,4.88,0.9,0.71,-4.989223638693144,1.83,0.1,0.1,0.0,0.43,0.11,0.28,1.0,1.31,0.15,0.69,0.0,0.01,0.0,0.05,0.0,0.1,0.24,0.08,0.0,0.0,0.0,0.0,0.0,0.05,0.9,0.12,0.0,0.02,0.32,0.0,2
15.63,98.16,5.2611810859172685,4.8,0.78,1.08,-4.655016570697375,2.31,0.09,0.09,0.0,0.43,0.02,0.34,1.2,1.4,0.32,0.46,0.0,0.0,0.0,0.11,0.0,0.04,0.16,0.09,0.0,0.0,0.0,0.0,0.0,0.11,0.74,0.03,0.0,0.01,0.29,0.0,2
15.62,98.87,5.242565980720582,4.88,0.86,0.82,-3.7266250960307303,2.09,0.31,0.31,0.0,0.5,0.04,0.21,1.18,1.11,0.19,0.615,0.0,0.01,0.0,0.05,0.02,0.0,0.07,0.04,0.0,0.0,0.04,0.0,0.0,0.05,0.91,0.02,0.0,0.02,0.93,0.0,2
15.35,96.86,5.263411743680759,4.67,0.95,0.85,-4.399200325732899,2.11,0.32,0.32,0.0,0.29,0.05,0.25,1.19,1.22,0.19,0.515,0.0,0.0,0.0,0.12,0.03,0.02,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.85,0.08,0.0,0.02,1.01,0.0,2
19.32,122.44,5.04875210759537,5.31,1.21,0.59,-2.02693913043478,1.97,0.93,0.96,0.03,0.16,0.16,0.38,1.33,1.5,0.17,1.105,0.01,0.0,0.0,0.2,0.0,0.05,0.19,0.3,0.0,0.03,0.02,0.0,0.0,0.22,2.21,0.17,0.0,0.12,2.59,0.0,2
20.38,128.3,5.067412791886974,5.65,1.3,0.46,-1.1222710500490667,1.65,0.81,0.83,0.0,0.08,0.1,0.42,1.35,1.28,0.19,0.975,0.0,0.03,0.0,0.12,0.2,0.04,0.26,0.17,0.0,0.0,0.0,0.0,0.01,0.12,1.95,0.26,0.0,0.09,2.17,0.0,2
20.47,132.18,5.239124728685698,5.69,1.27,0.85,-0.7238470444553009,1.55,0.76,0.8,0.0,0.27,0.09,0.32,1.3,1.08,0.17,0.995,0.0,0.05,0.0,0.11,0.02,0.08,0.19,0.11,0.01,0.04,0.0,0.0,0.01,0.12,1.91,0.26,0.0,0.14,2.0,0.0,2
21.02,132.85,5.0811015322706945,5.93,1.32,0.62,-0.9364435775451945,1.47,0.68,0.7,0.0,0.17,0.09,0.4,1.2,1.35,0.11,0.99,0.01,0.0,0.0,0.17,0.0,0.03,0.34,0.24,0.01,0.0,0.0,0.0,0.0,0.18,1.82,0.15,0.0,0.15,1.98,0.0,2
20.4,136.89,5.507385424810893,6.14,1.29,1.01,0.09384313725490223,2.35,0.77,0.77,0.0,0.16,0.12,0.39,1.45,2.24,0.1,0.84,0.0,0.0,0.0,0.08,0.04,0.07,0.17,0.27,0.0,0.01,0.0,0.0,0.01,0.09,1.64,0.13,0.0,0.09,2.27,0.0,2
20.6,132.13,5.241901870822102,6.35,1.43,0.54,-0.6249320388349506,1.66,0.37,0.38,0.01,0.15,0.1,0.51,1.0,1.66,0.17,0.805,0.0,0.05,0.0,0.07,0.0,0.04,0.19,0.24,0.01,0.01,0.0,0.0,0.01,0.08,1.51,0.23,0.0,0.18,1.05,0.0,2
20.46,131.91,5.219992831683359,6.32,1.3,0.72,-0.8339626588465272,1.18,0.33,0.33,0.01,0.09,0.12,0.54,0.88,1.58,0.19,0.78,0.0,0.01,0.0,0.1,0.0,0.13,0.29,0.28,0.0,0.0,0.0,0.0,0.0,0.13,1.46,0.22,0.0,0.14,0.91,0.0,2
21.42,136.83,5.192823069512814,6.28,1.45,0.56,-0.5043605975723615,1.12,0.33,0.34,0.01,0.2,0.09,0.54,0.78,1.87,0.16,0.71,0.0,0.01,0.0,0.07,0.03,0.06,0.33,0.2,0.0,0.01,0.0,0.0,0.0,0.07,1.38,0.22,0.0,0.11,0.99,0.0,2
21.25,133.94,5.101265390890566,6.29,1.4,0.8,-0.9277235294117645,1.85,0.31,0.31,0.0,0.19,0.15,0.62,1.03,1.58,0.15,0.75,0.0,0.03,0.0,0.12,0.02,0.13,0.21,0.23,0.0,0.0,0.0,0.0,0.0,0.14,1.44,0.24,0.0,0.13,0.94,0.0,2
21.09,138.56,5.662101639663806,6.57,1.31,0.87,-0.01297965860597472,1.11,0.15,0.15,0.0,0.17,0.1,0.78,0.87,1.88,0.26,0.61,0.0,0.0,0.0,0.07,0.02,0.09,0.24,0.28,0.0,0.02,0.0,0.0,0.07,0.09,1.18,0.12,0.0,0.07,0.48,0.0,2
19.91,116.74,4.8449331814716565,7.36,0.89,0.38,-3.2615640883977903,1.71,0.4,0.4,0.01,0.15,0.17,0.37,2.1,2.02,0.72,0.675,0.0,0.02,0.0,0.13,0.02,0.2,0.09,0.09,0.0,0.01,0.0,0.0,0.0,0.16,0.69,0.03,0.0,0.02,1.26,0.0,2
