number_of_words,number_of_characters,average_word_len,number_of_stop_words,number_of_tags,number_of_hash_tags,readability,number_of_digits,number_of_secure_links,number_of_unsecured_links,number_of_percent,number_of_exclamation_marks,number_of_question_marks,number_of_commas,number_of_points,number_of_male_terms,number_of_female_terms,number_of_emoji,number_of_tildes,number_of_dollars,number_of_circumflex_accents,number_of_ampersands,number_of_stars,number_of_parenthesis,number_of_minuses,number_of_underscores,number_of_equals,number_of_pluses,number_of_brackets,number_of_curly_brackets,number_of_vertical_bars,number_of_semicolons,number_of_colons,number_of_apostrophes,number_of_grave_accents,number_of_quotation_marks,number_of_slashes,number_of_less_grater_than_signs,number_of_words_in_bot_popular_words,number_of_words_in_human_popular_words,number_of_different_words,author_class
18.98,116.18,4.96267399797018,7.49,0.26,0.28,2.4993443624868306,0.38,0.15,0.15,0.0,0.01,0.01,0.97,1.06,0.24,0.01,0.215,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.14,0.43,0.02,0.0,0.08,0.45,0.0,0.48,0.74,0.37776606954689146,0
20.06,120.44,4.786666645557868,8.03,0.32,0.28,2.6451647058823546,0.26,0.19,0.19,0.0,0.03,0.05,1.02,1.23,0.22,0.04,0.31,0.0,0.0,0.0,0.03,0.0,0.02,0.05,0.08,0.01,0.0,0.0,0.0,0.0,0.13,0.4,0.0,0.0,0.19,0.55,0.0,0.51,0.94,0.3748753738783649,0
20.15,123.42,4.950407137973698,7.63,0.43,0.33,3.108102977667496,0.46,0.2,0.2,0.0,0.02,0.01,0.84,1.26,0.29,0.02,0.355,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.09,0.61,0.0,0.0,0.28,0.6,0.0,0.53,1.04,0.4079404466501241,0
19.91,119.97,4.8523511918546856,7.81,0.26,0.24,2.2383856855851327,0.43,0.17,0.17,0.0,0.11,0.04,0.95,1.34,0.21,0.0,0.215,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.33,0.0,0.0,0.14,0.51,0.0,0.45,0.93,0.40281265695630336,0
17.91,105.85,4.654086356585431,7.4,0.0,0.01,1.0602266331658292,0.04,0.02,0.02,0.0,0.01,0.03,0.74,1.09,0.18,0.03,0.035,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.0,0.0,0.02,0.06,0.0,0.19,0.88,0.37018425460636517,0
19.33,117.64,4.868487874353095,7.55,0.05,0.15,2.2530973098810136,0.18,0.1,0.1,0.0,0.0,0.02,0.99,1.32,0.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.0,0.0,0.3,0.0,0.33,0.72,0.3833419555095706,0
19.0,116.1,4.857794297674343,6.97,0.36,0.29,2.086000000000002,0.86,0.31,0.31,0.0,0.07,0.05,0.81,1.77,0.35,0.08,0.47,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.66,0.02,0.0,0.8,0.92,0.0,0.77,1.23,0.3973684210526316,0
21.24,128.62,4.862171597715469,7.97,0.19,0.21,3.143600000000003,0.69,0.32,0.32,0.0,0.0,0.0,0.78,1.46,0.25,0.0,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.53,0.0,0.0,0.13,0.96,0.0,0.87,1.0,0.3907721280602637,0
20.23,120.16,4.703095959837319,8.31,0.17,0.17,2.2914943648047483,0.21,0.07,0.07,0.0,0.01,0.08,0.81,1.25,0.26,0.07,0.185,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.1,0.27,0.0,0.0,0.15,0.21,0.0,0.24,1.0,0.39149777558082055,0
19.42,116.12,4.782588413108042,7.77,0.25,0.21,2.2100615859938237,0.36,0.19,0.19,0.0,0.01,0.05,0.74,1.52,0.34,0.04,0.305,0.0,0.0,0.0,0.02,0.0,0.04,0.03,0.06,0.02,0.0,0.0,0.0,0.0,0.06,0.47,0.01,0.0,1.13,0.57,0.0,0.52,0.96,0.3959835221421215,0
14.64,88.52,4.779872665732961,2.1,0.0,1.0,0.4768404371584687,3.41,2.0,2.0,0.0,0.0,0.0,0.0,2.01,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.02,0.21994535519125682,0
14.84,89.13,4.736512488328665,2.09,0.0,1.0,0.41525498652291404,3.15,2.0,2.0,0.0,0.0,0.0,0.02,2.02,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.01,0.0,4.0,0.0,0.22371967654986524,0
14.76,88.61,4.737280462184875,2.11,0.0,1.0,0.7352346883468854,3.3,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.02,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.06,0.2127371273712737,0
14.56,88.74,4.827789682539683,2.1,0.0,1.0,0.4701307692307708,3.8,2.0,2.0,0.0,0.0,0.0,0.01,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.21428571428571427,0
14.53,88.07,4.7879063958916905,2.07,0.0,1.0,0.8778011699931163,3.15,2.0,2.0,0.0,0.0,0.0,0.0,2.01,0.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.01,0.22229869236063318,0
14.5,88.78,4.851694094304388,2.07,0.0,1.0,0.5547931034482758,3.29,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.21655172413793103,0
14.77,90.47,4.860875350140056,2.19,0.0,1.0,0.9237190927555865,3.27,2.0,2.0,0.0,0.0,0.0,0.0,2.01,0.04,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.21936357481381177,0
14.87,88.45,4.6899794523072345,2.07,0.0,1.0,0.34285749831876444,3.19,2.0,2.0,0.0,0.0,0.0,0.0,2.01,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.05,0.21923335574983188,0
14.57,88.1,4.77667261904762,2.11,0.0,1.0,0.5154983527796837,3.18,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.22031571722717913,0
14.78,89.78,4.807628968253968,2.18,0.0,1.0,0.8484895805142081,3.35,2.0,2.0,0.0,0.0,0.0,0.01,2.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.03,0.22056833558863329,0
13.64,80.87,4.781822381678985,3.68,0.19,0.13,-0.40822991202345804,1.87,0.84,0.84,0.0,0.05,0.06,0.21,1.77,0.12,0.04,0.605,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.04,0.0,0.06,2.52,0.0,1.83,0.51,0.3555718475073314,0
13.56,79.83,4.710120565808908,3.58,0.18,0.09,-1.1122194690265488,2.02,0.79,0.79,0.0,0.06,0.17,0.33,1.81,0.18,0.03,0.61,0.0,0.0,0.0,0.0,0.0,0.01,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.07,0.0,0.1,2.37,0.0,1.71,0.59,0.3775811209439528,0
14.74,88.46,4.892999627940821,4.28,0.27,0.3,0.11735169606513196,1.72,0.73,0.73,0.0,0.13,0.07,0.29,1.71,0.3,0.03,0.665,0.0,0.0,0.02,0.0,0.0,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.08,0.0,0.12,2.16,0.0,1.52,0.83,0.3147896879240163,0
15.02,94.59,4.980915466752642,3.62,0.48,0.16,0.991501731025302,2.16,0.85,0.85,0.0,0.41,0.11,0.23,1.85,0.17,0.08,1.045,0.0,0.0,0.0,0.0,0.02,0.02,0.1,0.09,0.0,0.01,0.0,0.0,0.0,0.0,1.11,0.02,0.0,0.02,2.55,0.0,1.76,0.75,0.35419440745672437,0
12.82,77.27,4.865439892089559,3.5,0.34,0.15,-0.6034605304212164,1.55,0.72,0.72,0.0,0.18,0.06,0.18,1.76,0.17,0.02,0.555,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.91,0.03,0.0,0.0,2.13,0.0,1.52,0.65,0.3673946957878315,0
12.33,74.3,4.8661782729843495,3.17,0.2,0.12,-0.5699455798864541,1.57,0.7,0.7,0.01,0.08,0.03,0.23,1.76,0.12,0.03,0.55,0.0,0.0,0.06,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.82,0.04,0.0,0.14,2.1,0.0,1.48,0.59,0.38929440389294406,0
11.85,70.09,4.7928507248804815,3.29,0.31,0.06,-1.1899345991561177,1.45,0.59,0.59,0.0,0.09,0.1,0.2,1.5,0.22,0.07,0.51,0.02,0.0,0.04,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.04,0.0,0.02,1.77,0.0,1.31,0.66,0.39156118143459917,0
13.83,83.25,4.845332372521214,4.09,0.25,0.08,-0.6146658712942852,1.56,0.71,0.71,0.01,0.18,0.04,0.28,1.96,0.19,0.02,0.53,0.02,0.0,0.0,0.0,0.0,0.03,0.07,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.9,0.14,0.0,0.1,2.12,0.0,1.54,0.56,0.34562545191612437,0
13.96,83.42,4.887217777086384,3.71,0.2,0.16,-0.28127335243552665,1.9,0.73,0.73,0.0,0.12,0.07,0.39,1.59,0.22,0.05,0.57,0.0,0.0,0.04,0.0,0.0,0.02,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.88,0.06,0.0,0.1,2.2,0.0,1.55,0.49,0.36031518624641834,0
13.5,78.71,4.655888945672167,3.73,0.14,0.26,-1.1035185185185181,2.19,0.71,0.71,0.0,0.07,0.15,0.18,1.56,0.13,0.01,0.48,0.02,0.0,0.02,0.0,0.0,0.04,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.26,0.0,0.1,2.13,0.0,1.61,0.59,0.32814814814814813,0
19.74,120.48,4.812242568560375,3.96,1.24,0.24,2.420150151975683,3.15,0.0,0.56,0.01,1.55,0.05,0.56,2.23,0.78,0.06,0.575,0.0,0.0,0.0,0.03,0.03,0.27,0.67,0.16,0.0,0.02,0.0,0.0,0.04,0.01,1.15,0.09,0.0,0.2,2.17,0.0,1.82,1.14,0.38703140830800403,0
19.56,115.99,4.655289585127335,3.62,1.76,0.07,1.5640646216768914,6.69,0.0,0.75,0.0,0.72,0.02,0.68,2.35,0.41,0.03,0.665,0.0,0.0,0.0,0.06,0.01,0.24,0.57,0.35,0.0,0.0,0.02,0.0,0.01,0.0,1.33,0.02,0.0,0.16,3.2,0.0,2.31,0.83,0.26482617586912066,0
19.5,116.64,4.760410195812671,3.4,2.08,0.09,1.7636153846153846,8.14,0.0,0.78,0.0,0.44,0.01,0.59,2.25,0.44,0.0,0.685,0.0,0.0,0.0,0.05,0.0,0.16,0.42,0.43,0.0,0.0,0.0,0.0,0.03,0.01,1.37,0.03,0.0,0.16,3.7,0.0,2.5,1.03,0.21025641025641026,0
18.78,115.6,4.917119983887827,3.47,2.03,0.16,1.9696632587859426,6.98,0.0,0.69,0.0,0.31,0.0,0.44,2.04,0.7,0.01,0.735,0.0,0.0,0.0,0.08,0.0,0.12,0.35,0.32,0.02,0.03,0.0,0.0,0.01,0.02,1.47,0.01,0.0,0.24,3.02,0.0,2.12,1.32,0.23482428115015974,0
19.46,116.57,4.7483631378353515,3.55,1.82,0.07,1.6407155190133622,5.28,0.0,0.65,0.0,0.5,0.03,0.4,1.8,0.74,0.01,0.905,0.0,0.0,0.0,0.04,0.11,0.02,0.63,0.32,0.01,0.04,0.0,0.0,0.08,0.02,1.81,0.03,0.0,0.12,2.8,0.0,2.39,1.44,0.3114080164439877,0
20.81,120.92,4.521212508795104,4.65,1.28,0.1,1.916000913022586,4.89,0.0,0.77,0.0,0.57,0.06,0.54,2.39,0.46,0.04,0.62,0.0,0.0,0.0,0.05,0.13,0.1,0.81,0.21,0.0,0.0,0.0,0.0,0.08,0.0,1.24,0.05,0.0,0.26,3.15,0.0,2.83,0.76,0.24891878904372897,0
21.3,125.65,4.62505732597458,5.05,1.01,0.12,2.1846995305164327,4.18,0.0,0.78,0.0,0.57,0.03,0.64,2.04,0.55,0.03,0.585,0.0,0.0,0.0,0.02,0.18,0.1,0.84,0.12,0.0,0.0,0.0,0.0,0.12,0.0,1.17,0.06,0.0,0.36,3.02,0.0,2.85,0.9,0.2605633802816901,0
20.44,118.66,4.5515381538965265,3.71,1.27,0.03,1.6126176125244633,5.82,0.0,0.81,0.01,0.48,0.02,0.5,2.24,0.46,0.02,0.7,0.0,0.0,0.0,0.04,0.32,0.18,0.72,0.21,0.0,0.0,0.0,0.0,0.12,0.0,1.4,0.04,0.0,0.3,3.62,0.0,3.04,0.9,0.2837573385518591,0
19.93,119.76,4.729811701802209,4.11,1.66,0.09,2.4847572002007006,4.99,0.0,0.61,0.0,1.29,0.01,0.52,2.28,0.23,0.0,0.605,0.0,0.0,0.0,0.01,0.05,0.24,0.66,0.29,0.0,0.05,0.0,0.0,0.04,0.0,1.21,0.05,0.0,0.16,2.65,0.0,2.06,1.0,0.3010536879076769,0
20.42,126.63,5.00083921764174,3.97,1.64,0.27,3.5670419196865844,4.71,0.0,0.64,0.01,1.14,0.04,0.67,2.08,0.37,0.01,0.62,0.0,0.0,0.0,0.0,0.06,0.28,0.75,0.29,0.0,0.05,0.0,0.0,0.04,0.0,1.24,0.09,0.0,0.18,2.82,0.0,2.15,0.97,0.28844270323212534,0
19.76,120.09,4.9760529460321505,4.96,1.0,0.0,2.734011336032392,2.49,1.0,1.0,0.01,0.01,0.02,0.06,1.01,0.07,0.01,0.675,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.02,0.0,0.28,3.0,0.0,2.2,0.41,0.416497975708502,0
19.44,117.79,4.937459502155612,4.88,1.0,0.0,2.559398353909465,2.4,1.0,1.0,0.03,0.0,0.04,0.11,1.07,0.19,0.03,0.68,0.0,0.02,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.34,3.0,0.0,2.1,0.5,0.41872427983539096,0
19.66,120.46,5.003418008012383,4.89,1.0,0.0,2.959088708036621,2.54,1.0,1.0,0.05,0.0,0.04,0.16,1.08,0.06,0.01,0.67,0.0,0.05,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.34,0.01,0.0,0.28,3.01,0.0,2.13,0.5,0.42166836215666326,0
19.82,119.97,4.945368088361588,4.94,1.01,0.0,2.469265186680122,2.39,1.0,1.0,0.03,0.0,0.0,0.08,1.07,0.18,0.04,0.64,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.05,0.0,0.28,3.0,0.0,2.16,0.53,0.4228052472250252,0
19.7,120.61,5.001901317808024,4.99,1.0,0.0,2.8687360406091393,2.1,1.0,1.0,0.01,0.0,0.06,0.09,1.05,0.18,0.02,0.675,0.0,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.04,0.0,0.3,3.0,0.0,2.15,0.44,0.41065989847715734,0
20.44,125.37,5.006890285768824,5.04,1.0,0.0,3.4657487279843444,2.14,1.0,1.0,0.02,0.0,0.04,0.11,1.03,0.2,0.01,0.735,0.0,0.01,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.02,0.0,0.34,3.0,0.0,2.08,0.51,0.43590998043052837,0
19.84,120.92,4.971563516167304,5.2,1.01,0.0,2.87108790322581,2.23,1.0,1.0,0.08,0.03,0.04,0.14,1.07,0.15,0.01,0.68,0.0,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.02,0.0,0.2,3.0,0.0,2.15,0.43,0.40473790322580644,0
19.9,122.07,5.028576755558497,4.88,1.0,0.01,3.0637638190954775,2.27,1.0,1.0,0.03,0.0,0.02,0.1,1.02,0.16,0.0,0.705,0.0,0.03,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.02,0.0,0.23,3.0,0.0,2.1,0.54,0.41959798994974873,0
20.06,123.16,5.037686688988536,5.19,1.0,0.0,3.2922235294117677,2.42,1.0,1.0,0.02,0.0,0.06,0.15,1.05,0.17,0.03,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.08,0.0,0.3,3.0,0.0,2.16,0.45,0.419740777666999,0
19.58,120.64,5.0505522000016985,4.96,1.0,0.0,3.3098363636363644,2.39,1.0,1.0,0.02,0.0,0.03,0.12,1.03,0.12,0.02,0.675,0.0,0.01,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.02,0.0,0.24,3.0,0.0,2.06,0.49,0.4121552604698672,0
25.79,161.54,4.84917631875714,6.99,0.0,2.67,5.087642458317177,4.73,1.5,1.5,0.0,0.0,0.02,1.14,6.05,0.12,0.0,1.0,0.0,0.34,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05,2.0,0.0,0.0,0.0,4.5,0.0,3.13,0.42,0.30670802636680883,0
25.83,161.49,4.83452769194526,6.18,0.02,2.98,5.14618548199768,4.59,1.64,1.64,0.0,0.01,0.02,0.97,6.26,0.09,0.0,1.165,0.0,0.33,0.0,0.02,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.03,2.33,0.0,0.0,0.0,4.92,0.0,3.36,0.47,0.286488579171506,0
27.35,171.88,4.89719767117372,7.11,0.0,3.0,5.892807129798907,4.46,1.66,1.66,0.0,0.0,0.01,1.1,6.31,0.14,0.0,1.185,0.0,0.34,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.37,0.0,0.0,0.04,4.98,0.0,3.47,0.44,0.29177330895795245,0
26.68,166.27,4.8140717888374756,6.72,0.0,3.0,5.407778710644678,4.69,1.65,1.65,0.0,0.0,0.0,1.03,6.51,0.05,0.0,1.19,0.0,0.35,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,4.95,0.0,3.37,0.54,0.29160419790104947,0
25.89,163.54,4.939895423202287,6.03,0.0,2.99,5.482148281189652,4.4,1.66,1.66,0.0,0.0,0.0,0.85,6.35,0.13,0.02,1.19,0.0,0.33,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.38,0.0,0.0,0.02,4.98,0.0,3.48,0.37,0.2970258787176516,0
16.57,95.35,4.541307738598705,6.92,0.0,0.0,-0.2901622812311402,0.23,0.06,0.06,0.0,0.01,0.05,0.73,1.2,0.15,0.03,0.955,0.0,0.0,0.0,0.0,0.0,1.29,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.17,0.0,0.0,0.11,0.18,0.0,0.22,0.75,0.3940856970428485,0
16.19,94.36,4.610173060505563,6.76,0.0,0.0,-0.03414583075972644,0.16,0.12,0.12,0.0,0.05,0.04,0.64,1.27,0.16,0.01,1.06,0.0,0.0,0.0,0.0,0.0,1.28,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.24,0.0,0.0,0.04,0.37,0.0,0.36,0.67,0.39407041383570107,0
15.65,91.6,4.625852585313877,6.6,0.0,0.0,-0.33301757188498193,0.14,0.08,0.08,0.0,0.02,0.03,0.74,1.07,0.29,0.06,0.94,0.0,0.0,0.0,0.0,0.0,1.35,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.14,0.0,0.0,0.02,0.25,0.0,0.3,0.76,0.3916932907348243,0
16.06,92.88,4.55946370086105,6.41,0.0,0.02,-0.2818926525529264,0.27,0.18,0.18,0.0,0.03,0.03,0.68,1.29,0.16,0.02,1.025,0.0,0.0,0.0,0.0,0.0,1.14,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.27,0.0,0.0,0.02,0.57,0.0,0.48,0.89,0.37733499377334995,0
15.21,89.05,4.613262087501946,6.06,0.0,0.0,-0.5811769230769208,0.13,0.1,0.1,0.0,0.04,0.11,0.67,1.12,0.16,0.02,0.975,0.0,0.01,0.0,0.0,0.0,1.2,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.17,0.02,0.0,0.0,0.3,0.0,0.31,0.71,0.3997370151216305,0
16.19,93.28,4.524594481425119,6.73,0.0,0.0,-0.2819531192093869,0.12,0.08,0.08,0.0,0.02,0.04,0.81,1.21,0.17,0.02,1.015,0.0,0.0,0.0,0.01,0.0,1.2,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.0,0.0,0.08,0.24,0.0,0.26,0.65,0.3983940704138357,0
16.32,93.62,4.5016921933702525,6.84,0.0,0.0,-0.5414990196078406,0.23,0.18,0.18,0.0,0.01,0.04,0.64,1.25,0.19,0.03,1.015,0.0,0.0,0.0,0.0,0.0,1.26,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.0,0.0,0.0,0.54,0.0,0.46,0.72,0.37254901960784315,0
14.95,87.85,4.595218799527204,5.7,0.0,0.0,-0.4852525083612029,0.17,0.12,0.12,0.0,0.24,0.03,0.56,1.18,0.23,0.04,1.03,0.0,0.0,0.0,0.0,0.0,1.22,0.02,0.08,0.0,0.0,0.02,0.0,0.0,0.06,0.24,0.0,0.0,0.06,0.38,0.0,0.36,0.75,0.4280936454849498,0
