number_of_words,number_of_characters,average_word_len,number_of_stop_words,number_of_tags,number_of_hash_tags,readability,number_of_digits,number_of_secure_links,number_of_unsecured_links,number_of_percent,number_of_exclamation_marks,number_of_question_marks,number_of_commas,number_of_points,number_of_male_terms,number_of_female_terms,number_of_emoji,number_of_tildes,number_of_dollars,number_of_circumflex_accents,number_of_ampersands,number_of_stars,number_of_parenthesis,number_of_minuses,number_of_underscores,number_of_equals,number_of_pluses,number_of_brackets,number_of_curly_brackets,number_of_vertical_bars,number_of_semicolons,number_of_colons,number_of_apostrophes,number_of_grave_accents,number_of_quotation_marks,number_of_slashes,number_of_less_grater_than_signs,number_of_words_in_bot_popular_words,number_of_words_in_human_popular_words,number_of_different_words,author_class
14.88,82.58,4.388979982766071,5.26,0.0,0.0,-5.655213978494622,0.64,0.0,0.44,0.0,0.23,0.03,0.29,1.11,1.37,0.12,0.275,0.0,0.01,0.0,0.08,0.0,0.01,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.55,0.29,0.0,0.04,1.32,0.0,2.72,4.0,0.448252688172043,0
13.82,78.38,4.51330475925975,4.41,0.0,0.0,-5.999331693198263,0.89,0.0,0.44,0.02,0.19,0.11,0.31,1.02,1.03,0.17,0.25,0.0,0.0,0.0,0.09,0.0,0.02,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.34,0.0,0.06,1.32,0.0,2.55,3.24,0.4630969609261939,0
14.97,83.29,4.430207295550249,5.31,0.0,0.0,-5.81048423513694,0.75,0.0,0.45,0.0,0.13,0.1,0.3,1.07,1.31,0.13,0.245,0.0,0.0,0.0,0.09,0.0,0.02,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.49,0.22,0.0,0.01,1.35,0.0,2.72,3.72,0.41015364061456244,0
14.35,79.21,4.3901745250010045,4.79,0.0,0.0,-6.260259581881533,1.02,0.0,0.46,0.0,0.17,0.1,0.35,1.13,1.4,0.14,0.25,0.0,0.0,0.0,0.1,0.0,0.02,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.5,0.28,0.0,0.02,1.38,0.0,2.7,3.75,0.4362369337979094,0
14.33,80.06,4.43660369536385,4.77,0.0,0.0,-5.982877110956036,1.02,0.0,0.49,0.0,0.15,0.04,0.21,1.37,1.65,0.2,0.29,0.0,0.0,0.0,0.05,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.58,0.28,0.0,0.08,1.47,0.0,2.67,3.75,0.424284717376134,0
14.15,78.54,4.41032729216297,4.82,0.0,0.0,-6.410581272084805,0.9,0.0,0.45,0.0,0.13,0.09,0.24,1.03,1.55,0.22,0.265,0.0,0.02,0.0,0.04,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.53,0.18,0.0,0.06,1.35,0.0,2.55,3.58,0.43886925795053006,0
15.12,83.67,4.424847816114234,5.27,0.0,0.0,-5.541348148148149,0.77,0.0,0.47,0.0,0.15,0.04,0.35,1.13,1.27,0.17,0.265,0.0,0.0,0.0,0.05,0.0,0.03,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.53,0.36,0.0,0.0,1.41,0.0,2.61,3.94,0.4279100529100529,0
13.89,79.09,4.500882201478471,4.34,0.0,0.0,-6.129127501799855,0.79,0.01,0.5,0.0,0.12,0.06,0.25,1.11,1.23,0.16,0.26,0.0,0.0,0.0,0.08,0.0,0.02,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.52,0.2,0.0,0.08,1.5,0.0,2.72,2.99,0.4564434845212383,0
14.04,79.43,4.530524040611053,4.79,0.0,0.0,-5.903716239316239,0.6,0.0,0.4,0.0,0.32,0.06,0.28,1.05,1.14,0.16,0.225,0.0,0.0,0.0,0.04,0.0,0.02,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.45,0.25,0.0,0.04,1.21,0.0,2.33,3.55,0.457977207977208,0
14.21,79.39,4.428973212574359,4.71,0.0,0.0,-6.120302674173116,0.87,0.0,0.43,0.0,0.22,0.06,0.28,1.01,1.45,0.22,0.255,0.0,0.02,0.0,0.12,0.0,0.03,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.51,0.22,0.0,0.0,1.29,0.0,2.38,3.43,0.44405348346235046,0
15.19,85.5,4.5702810939649865,5.92,0.0,0.0,-4.3368677419354835,0.16,0.01,0.01,0.01,0.01,0.02,0.86,0.82,1.86,0.19,0.015,0.0,0.01,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.04,0.0,0.0,0.0,0.02,0.03,0.02,0.0,0.14,0.03,0.0,1.39,4.36,0.47465437788018433,0
21.88,135.24,4.785520784812372,5.25,0.01,0.0,-1.0327597806215714,2.69,0.0,1.02,0.0,0.03,0.01,0.79,4.3,1.88,0.06,1.255,0.0,0.09,0.0,0.01,0.0,0.02,0.11,0.0,0.0,0.0,0.01,0.0,0.0,0.01,2.51,0.14,0.0,0.12,3.16,0.0,4.13,4.56,0.3194698354661792,0
21.49,133.79,4.820239598751372,5.05,0.0,0.0,-1.1524086086551897,2.12,0.0,1.03,0.0,0.04,0.0,0.69,4.22,1.63,0.06,1.235,0.0,0.05,0.0,0.01,0.0,0.02,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.16,0.0,0.13,3.15,0.0,4.22,3.66,0.3569101907864123,0
22.11,134.42,4.6680844105699375,5.34,0.0,0.01,-1.6141375395748518,2.49,0.0,1.05,0.0,0.03,0.03,0.7,4.27,1.88,0.03,1.355,0.0,0.03,0.0,0.03,0.0,0.02,0.18,0.0,0.0,0.02,0.0,0.0,0.0,0.03,2.71,0.2,0.0,0.1,3.23,0.0,4.2,4.38,0.3573043871551334,0
22.18,135.11,4.6984368463810116,5.56,0.0,0.04,-1.4388081154192953,2.67,0.0,1.02,0.0,0.04,0.02,0.72,4.23,1.8,0.13,1.31,0.0,0.06,0.0,0.0,0.0,0.01,0.15,0.0,0.0,0.06,0.0,0.0,0.0,0.0,2.62,0.15,0.0,0.16,3.15,0.0,3.95,4.6,0.33002705139765554,0
21.9,134.23,4.748175577937192,5.59,0.0,0.01,-1.3321963470319638,2.62,0.0,1.0,0.0,0.0,0.04,0.65,4.3,1.73,0.11,1.225,0.0,0.02,0.0,0.03,0.0,0.06,0.17,0.0,0.0,0.02,0.0,0.0,0.0,0.03,2.45,0.14,0.0,0.14,3.12,0.0,4.19,4.6,0.3538812785388128,0
21.86,134.27,4.742566327824222,5.53,0.0,0.02,-1.3049476669716373,2.33,0.0,1.02,0.0,0.05,0.01,0.79,4.28,1.48,0.14,1.275,0.0,0.02,0.0,0.03,0.0,0.04,0.2,0.0,0.0,0.06,0.01,0.0,0.0,0.03,2.55,0.15,0.0,0.15,3.1,0.0,4.15,4.43,0.3513266239707228,0
22.3,134.58,4.6546217407908035,5.92,0.0,0.0,-1.6279775784753348,2.27,0.0,1.02,0.02,0.0,0.07,0.57,4.25,1.9,0.15,1.21,0.0,0.04,0.0,0.0,0.0,0.01,0.17,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.42,0.14,0.0,0.08,3.14,0.0,4.1,4.93,0.33183856502242154,0
21.92,134.77,4.738343000394113,5.11,0.02,0.01,-1.4695759124087573,2.35,0.0,1.02,0.0,0.02,0.02,0.63,4.34,1.95,0.15,1.255,0.0,0.02,0.0,0.0,0.0,0.04,0.3,0.0,0.0,0.03,0.0,0.03,0.0,0.02,2.51,0.13,0.0,0.12,3.14,0.0,4.0,4.54,0.35264598540145986,0
22.1,134.36,4.694855178459985,5.97,0.01,0.01,-1.5034886877828022,2.65,0.0,1.03,0.0,0.07,0.0,0.82,4.36,1.94,0.18,1.245,0.0,0.0,0.0,0.02,0.0,0.02,0.13,0.0,0.0,0.0,0.01,0.0,0.0,0.02,2.49,0.21,0.0,0.18,3.27,0.0,3.92,5.03,0.33167420814479637,0
22.21,134.28,4.704495087505266,5.47,0.0,0.05,-1.5301711391265176,2.55,0.0,1.0,0.01,0.04,0.01,0.66,4.29,1.88,0.19,1.255,0.0,0.03,0.0,0.0,0.0,0.05,0.16,0.0,0.0,0.0,0.0,0.01,0.0,0.02,2.51,0.13,0.0,0.2,3.13,0.0,3.77,4.86,0.3403872129671319,0
21.36,121.88,4.540578035608286,7.24,0.18,0.0,-2.7406861423220974,3.86,0.81,0.81,0.0,0.49,0.37,0.48,2.16,1.76,0.32,0.445,0.02,0.0,0.0,0.06,0.04,0.21,0.22,0.13,0.0,0.03,0.0,0.0,0.0,0.1,0.89,0.49,0.0,0.26,2.51,0.0,2.4,5.46,0.37687265917602997,0
14.21,80.69,4.539404684024266,4.59,0.0,0.0,-5.862878325123152,0.87,0.0,0.52,0.0,0.18,0.08,0.34,1.08,1.33,0.2,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.58,0.3,0.0,0.08,1.56,0.0,2.92,3.28,0.4644616467276566,0
13.84,78.43,4.5341133498577655,4.64,0.0,0.0,-5.733295953757224,0.95,0.0,0.45,0.0,0.14,0.08,0.25,1.11,1.23,0.12,0.25,0.0,0.0,0.0,0.05,0.0,0.02,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.5,0.22,0.0,0.03,1.36,0.0,2.39,3.43,0.444364161849711,0
14.97,84.84,4.557206585978571,5.03,0.0,0.0,-5.432127521710086,0.6,0.0,0.48,0.0,0.23,0.05,0.31,1.1,1.28,0.2,0.29,0.0,0.0,0.0,0.05,0.0,0.01,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.58,0.31,0.0,0.02,1.45,0.0,2.51,3.74,0.44622578490313963,0
13.96,79.33,4.538013483049682,4.65,0.0,0.0,-5.77554269340974,0.72,0.0,0.46,0.01,0.17,0.07,0.25,1.01,1.21,0.15,0.25,0.0,0.0,0.0,0.08,0.0,0.02,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.5,0.26,0.0,0.07,1.38,0.0,2.63,3.29,0.4455587392550143,0
14.47,81.64,4.503216779165033,5.0,0.0,0.0,-5.787750449205252,1.05,0.0,0.49,0.0,0.15,0.02,0.4,1.07,1.31,0.14,0.265,0.0,0.0,0.0,0.05,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.53,0.33,0.0,0.0,1.47,0.0,2.7,3.76,0.4416033172080166,0
14.8,82.05,4.434690358171239,5.18,0.0,0.0,-6.054756756756756,0.98,0.01,0.48,0.0,0.16,0.1,0.35,0.97,1.39,0.21,0.27,0.0,0.02,0.0,0.04,0.0,0.02,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.54,0.33,0.0,0.0,1.44,0.0,2.5,3.75,0.4337837837837838,0
14.77,81.57,4.383408237717771,4.98,0.0,0.0,-5.635387203791469,0.83,0.0,0.36,0.01,0.14,0.09,0.34,1.03,1.1,0.11,0.215,0.0,0.0,0.0,0.03,0.0,0.01,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.43,0.41,0.0,0.01,1.08,0.0,2.04,3.8,0.4786729857819905,0
14.76,81.89,4.457135498805322,4.95,0.0,0.0,-5.572488888888888,0.75,0.0,0.47,0.0,0.11,0.04,0.32,0.99,1.48,0.17,0.25,0.0,0.0,0.0,0.03,0.0,0.01,0.65,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.5,0.27,0.0,0.13,1.41,0.0,2.71,3.56,0.4518970189701897,0
14.41,80.21,4.411778810896855,4.69,0.0,0.0,-6.293347744621791,0.96,0.0,0.49,0.01,0.23,0.07,0.32,1.16,1.33,0.1,0.28,0.0,0.0,0.0,0.06,0.0,0.04,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.56,0.16,0.0,0.06,1.47,0.0,2.76,3.41,0.45523941707147814,0
14.82,81.28,4.344980813834764,5.19,0.0,0.0,-5.765395681511469,0.83,0.0,0.39,0.0,0.13,0.04,0.4,1.07,1.25,0.11,0.21,0.0,0.0,0.0,0.05,0.0,0.02,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.42,0.46,0.0,0.02,1.17,0.0,2.48,4.05,0.4291497975708502,0
13.98,79.22,4.549715135230416,4.81,0.0,0.0,-5.816197711015736,0.91,0.0,0.48,0.0,0.2,0.06,0.27,1.04,1.31,0.15,0.275,0.0,0.0,0.0,0.05,0.03,0.0,0.64,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.55,0.26,0.0,0.05,1.44,0.0,2.72,3.44,0.42560801144492133,0
